,"graphite,cr","CO,g","CO2,g","CH4,g","H2,g","H2O,g","O2,g","ethane,g","propane,g"
240,0,7.362614922,20.52033484,NaN,NaN,NaN,-14,NaN,NaN
241,0,6.974708525,19.1388399,NaN,NaN,NaN,-14,NaN,NaN
242,0,6.616495576,17.86373212,NaN,NaN,NaN,-14,NaN,NaN
243,0,6.284658111,16.68316243,NaN,NaN,NaN,-14,NaN,NaN
244,0,5.976355431,15.58697895,NaN,NaN,NaN,-14,NaN,NaN
245,0,5.689141219,14.56643352,NaN,NaN,NaN,-14,NaN,NaN
246,0,5.420897362,13.61394719,NaN,NaN,NaN,-14,NaN,NaN
247,0,5.16978066,12.72292119,NaN,NaN,NaN,-14,NaN,NaN
248,0,4.9341796,11.88758336,NaN,NaN,NaN,-14,NaN,NaN
249,0,4.712679039,11.10286271,NaN,NaN,NaN,-14,NaN,NaN
250,0,4.504031157,10.36428601,NaN,NaN,NaN,-14,NaN,NaN
251,0,4.307131421,9.667892229,NaN,NaN,NaN,-14,NaN,NaN
252,0,4.120998576,9.010161287,NaN,NaN,NaN,-14,NaN,NaN
253,0,3.944757903,8.387954312,NaN,NaN,NaN,-14,NaN,NaN
254,0,3.777627126,7.798463406,NaN,NaN,NaN,-14,NaN,NaN
255,0,3.618904509,7.239169126,NaN,NaN,NaN,-14,NaN,NaN
